feature,importance
booking_value,0.19459483422661358
wait_time,0.03941455293815825
driver_rating,0.00560256286530827
is_peak_hour,0.005531087641331989
pickup_location,0.0052927515384537886
customer_rating,0.003920174370098617
segment_avg_distance,0.0012560178185524907
ride_distance,0.0010496903247097177
segment_avg_wait,0.0009121493316842421
payment_method,0.0006909538389445746
segment_bookings,0.0004995583612168453
hour,0.0004838421341804011
fare_per_km,0.0003890966514353389
city_avg_fare,0.00020706369185057304
segment_avg_fare,0.00011324645876753525
